#{"t_start": 1770949931.1179175, "env_id": "LunarLander-v3"}
r,l,t
-320.699444,132,112.489239
-358.986798,91,112.536205
-67.176893,118,112.604316
-104.449742,109,112.650893
-379.272166,111,112.717176
-206.140569,160,112.792214
-164.352641,89,112.837064
-143.043971,85,112.865952
-81.656131,81,112.918725
-194.234662,107,112.965935
-145.912594,87,113.02371
-302.348,92,113.095384
-423.982448,103,113.184709
-171.056522,116,113.265552
-129.152825,100,113.30162
-84.214041,62,113.343169
-64.137847,78,113.38359
-383.732724,96,113.416893
-236.831549,111,113.486432
-378.110059,94,113.517093
-188.545807,114,114.674349
-242.452965,92,114.738284
-113.925625,66,114.793747
-101.94702,76,114.856491
-112.630036,131,114.937756
-414.026345,111,115.022963
-165.568522,83,115.084523
-139.79213,150,115.253748
-290.094814,93,115.32062
-239.67015,119,115.380506
-181.279851,111,115.441947
-120.63202,69,115.488182
-122.966905,58,115.51439
-281.793531,107,115.582786
-138.057708,62,115.614466
-297.357592,122,115.688681
-497.472659,75,115.736194
-435.590293,84,115.785091
-169.164133,111,115.851048
-136.496002,77,115.898021
-119.012789,73,115.939861
-239.19625,84,115.991022
-125.001433,105,117.134098
-111.567277,62,117.166024
-121.253768,87,117.224838
-52.868165,64,117.27428
-256.307989,70,117.31534
-360.559857,95,117.374632
-141.899332,117,117.450841
-310.17901,96,117.500816
-90.271144,71,117.540412
-255.428833,75,117.584847
-240.841505,82,117.629583
-151.629744,64,117.666996
-264.664321,88,117.699193
-116.641938,81,117.745537
-123.761718,110,117.798612
-62.715531,74,117.857275
-111.987636,94,117.91794
-13.144935,74,117.964559
-77.899962,64,118.002531
-96.552091,64,118.037898
-246.332728,94,118.092167
-170.5675,121,118.146956
-350.711488,96,118.21346
-181.904571,64,118.24853
-228.85835,119,119.379951
-175.955047,76,119.412113
-227.379474,84,119.46413
-365.822044,122,119.536613
-145.792325,82,119.567751
-135.123649,105,119.631021
-352.108628,104,119.676661
-91.396729,128,119.740247
-106.911513,85,119.795618
-234.451649,111,119.876981
-123.243695,110,119.965727
-63.524738,78,120.037567
-199.49829,123,120.118974
-276.18909,87,120.177964
-227.90728,92,120.226171
-95.55083,119,120.289476
-50.25216,64,120.323414
-128.258559,124,120.378811
-81.957465,88,120.435088
-127.621703,76,120.477694
-164.580648,89,120.525809
82.596859,1000,122.11725
-287.482205,127,122.18726
-108.05187,105,122.247551
-231.219596,93,122.286765
-121.252508,85,122.339811
-131.546157,122,122.419388
-389.581945,108,122.473361
-185.925245,104,122.545134
-90.943363,85,122.588603
-1005.518928,203,122.697797
-2370.057181,267,122.812942
-667.172728,308,122.931751
-1460.801802,213,123.011992
-2934.721259,273,123.111435
-90.464521,90,123.180955
-49.712018,75,123.214718
-93.200641,75,123.261601
-146.957365,102,124.563977
-125.066286,105,124.631574
-370.957835,170,124.731875
-251.267467,159,124.829696
-168.945714,99,124.880171
-393.597405,121,124.947377
-181.194605,103,125.014725
-174.627882,103,125.079116
-271.125128,107,125.130912
-108.597941,117,125.201973
-95.374874,140,125.279924
-87.709147,99,125.347805
-87.971283,116,125.410569
-140.147021,126,125.479528
-362.551743,92,125.532114
-83.098194,89,125.576966
-429.372164,101,125.628356
-189.398,130,126.843513
-161.432539,140,126.909846
-277.456845,144,127.004686
-46.27752,72,127.045109
-203.311374,139,127.109616
-141.788815,79,127.143212
-203.114263,99,127.209139
-242.844972,135,127.276326
-191.55436,105,127.326544
-89.015235,94,127.376669
-105.930266,84,127.412303
-122.48027,71,127.452729
-278.604868,120,127.509571
-169.117795,135,127.601148
-264.548077,174,127.694879
-68.035618,130,127.759384
-69.269967,136,127.835411
-112.478403,159,127.909519
-71.161912,129,129.008687
-96.279017,123,129.084717
-113.611444,88,129.134569
-128.638414,149,129.208999
-114.821476,99,129.258927
-92.646808,102,129.308825
-32.346331,105,129.375374
-84.209242,108,129.425453
-166.019623,173,129.525353
-341.631799,122,129.584754
-56.117807,91,129.648073
-67.690227,92,129.708049
-135.419169,153,129.785023
-91.760049,90,129.833826
-238.046023,115,129.897953
-17.824933,104,129.995542
-229.555904,125,130.094736
-250.73772,180,131.274266
-29.224666,160,131.37443
-80.660281,94,131.453066
-78.740776,128,131.533441
-62.383937,160,131.624475
-92.801407,95,131.674617
-28.260911,94,131.723771
-37.845467,157,131.800542
-47.837604,153,131.895655
-264.553704,187,132.007519
-281.441729,142,132.083279
-126.384147,220,132.257513
-123.260523,172,132.357407
-35.809337,102,132.424282
-30.618885,148,133.590272
-148.237882,171,133.690022
-66.665655,94,133.742811
-30.357788,136,133.808084
-141.726971,175,133.908345
-43.545824,129,133.959528
-150.869467,167,134.056593
-62.413596,99,134.090466
-123.646936,135,134.175094
-246.919617,217,134.292561
-53.28958,154,134.373979
-2379.1999,364,134.523539
-2519.77698,402,134.682744
-2383.033185,426,134.863829
-2486.541473,438,135.032065
-2391.938006,376,135.156556
-58.478143,130,135.233421
-67.724271,95,135.281653
-247.054316,158,135.360288
-64.577036,164,136.711983
-71.318998,118,136.797714
-73.024214,151,136.908829
-65.981975,102,136.975539
-114.122422,202,137.117866
21.875253,152,137.241947
-73.519525,196,137.360267
-28.576722,132,137.44383
-37.400606,93,137.510768
-15.267053,205,137.643881
-68.824294,139,137.727294
-78.536943,183,137.85331
-6.17365,127,137.933298
-22.825828,133,138.016067
-3.416877,128,139.129942
-0.757293,119,139.187727
-73.993873,149,139.287926
-251.18314,365,139.471318
-115.152259,237,139.591296
-263.74881,324,139.754276
-69.012073,198,139.854082
34.77153,1000,141.573654
-52.626925,117,141.636951
-15.898927,136,141.703718
-34.918888,222,141.821977
-36.215552,101,141.898729
-43.279926,146,142.027506
-36.795711,179,142.162951
-7.531993,201,142.301773
-124.114051,119,142.393258
-9.033123,132,142.487636
9.411333,1000,144.771979
-11.619099,1000,145.415365
22.97208,167,145.507149
5.837319,317,146.755343
-101.997473,294,146.911348
-458.213833,397,147.656883
-539.259447,461,147.845285
-559.522967,493,148.026369
-603.615406,576,148.258539
-578.152777,534,148.474812
65.31861,1000,149.973934
-23.743481,239,150.10017
56.774707,1000,150.89242
-1.989245,195,151.028506
39.197923,1000,152.743865
55.629007,1000,153.305832
16.598274,1000,155.193858
65.13521,1000,155.693152
51.183907,1000,157.660544
-35.910942,222,157.840135
110.552255,1000,158.545392
77.722938,1000,160.145212
-78.173869,322,160.296894
-93.085324,1000,160.661678
-147.035955,1000,160.994719
-227.1067,1000,161.344572
-224.137114,969,161.686837
-164.895275,737,161.946526
-29.563272,361,162.129646
-57.901606,306,162.261004
4.336725,216,162.380559
97.191427,1000,164.160768
77.268066,1000,164.766641
51.797698,1000,167.005322
-75.647047,400,167.381817
86.770305,1000,169.75154
125.705914,1000,170.496264
89.242349,1000,173.206827
144.843858,1000,173.982048
-4.552121,287,174.144274
71.703223,1000,175.7748
-114.168564,1000,176.339688
-153.88508,1000,176.70354
-114.407481,1000,177.056039
-87.621157,1000,177.387151
-158.723841,1000,177.734105
92.498858,1000,178.239484
114.540214,1000,179.923305
67.424589,1000,180.418276
117.795288,1000,181.999365
110.876426,1000,182.501579
111.862222,1000,184.071147
-1.812145,339,184.235897
-15.82747,358,184.404936
109.982247,1000,185.929904
94.817917,1000,186.435743
74.434008,1000,187.98206
119.957442,870,188.451298
132.747502,935,188.800651
139.745902,843,189.090674
-204.590128,999,189.448143
111.694203,933,189.799298
96.308385,1000,190.299229
118.426452,1000,191.984531
121.779513,1000,192.489317
167.049777,675,193.850043
85.020646,1000,194.390032
-27.522217,409,194.599336
102.060855,1000,196.145557
115.700873,1000,196.646923
98.285777,1000,198.178285
65.122728,1000,198.687659
-43.911856,435,198.895053
-33.875276,403,200.077161
-52.747113,1000,200.495045
-94.989378,1000,200.843673
-80.94962,1000,201.196249
-41.992939,1000,201.559464
-85.815312,1000,201.913855
78.439714,1000,202.417619
36.497978,1000,203.962059
120.396916,1000,204.484231
93.086233,1000,206.024613
85.559176,1000,206.52431
78.149804,1000,208.008055
92.526195,1000,208.608938
18.310993,1000,210.121547
84.228039,1000,210.63952
42.121614,1000,212.124276
-112.637229,975,212.50686
128.01439,926,212.831104
-69.617218,1000,213.182379
11.483906,1000,213.534128
107.480356,985,213.879317
109.098419,1000,214.354459
174.055852,600,214.654923
82.795717,1000,216.253025
107.933547,1000,216.745941
-5.827807,443,217.95269
120.094815,1000,218.574126
136.819986,1000,220.018394
89.001077,1000,220.568377
89.209757,1000,221.068239
-57.423978,384,222.267411
90.642665,1000,222.767411
34.248421,1000,223.367091
-80.112598,1000,223.743066
152.611062,928,224.066815
153.606357,725,224.316723
126.497023,848,224.616533
121.396143,1000,226.217214
-30.18815,276,226.368861
-21.461628,285,226.515653
-18.245631,300,226.665156
211.021436,558,227.964772
18.992636,408,228.200856
175.049651,701,228.548012
93.121269,1000,230.097171
97.746893,1000,230.630464
80.010018,1000,232.146302
-35.909331,347,232.338421
206.170282,665,232.662821
132.906058,1000,234.162614
208.626798,739,234.548463
181.87614,610,234.847061
-47.922955,1000,235.24831
114.851733,821,235.549054
150.459361,828,235.838114
123.913071,987,236.18754
-41.250579,1000,236.528128
