#{"t_start": 1771124860.7900205, "env_id": "LunarLander-v3"}
r,l,t
-320.471087,118,0.383507
-95.844232,57,0.46025
-130.589065,75,0.546547
-223.84757,79,0.637768
-101.091827,61,0.704973
-199.442915,76,0.792364
-74.189106,77,0.881929
-348.506327,105,0.99948
-124.05255,67,1.080387
-149.702694,108,1.235503
-223.32907,110,1.354834
-248.702556,76,1.441819
-71.193289,65,1.536414
-67.653101,68,1.620315
-69.151878,116,1.753158
-89.120728,62,1.838416
13.625725,114,1.967642
-134.006269,87,2.071004
-152.995033,135,2.220012
-119.215102,75,2.302189
-85.994501,54,2.361157
37.453434,97,2.46729
-316.893264,94,2.573264
-193.945815,79,3.721042
-82.043833,109,3.844571
-128.524711,118,3.976857
-122.222274,80,4.071597
-129.361748,70,4.146491
-113.484445,81,4.234671
-187.724298,117,4.358859
-201.673747,129,4.499813
-321.670961,105,4.616129
-174.904723,90,4.715317
-125.776678,85,4.809844
-216.344589,80,4.898623
-58.660206,58,4.961032
-403.339239,94,5.06173
-104.039365,92,5.160663
-222.906275,88,5.254704
-307.734392,112,5.37792
-255.709028,105,5.492186
-62.565894,71,5.569793
-151.827933,70,5.64815
-317.860911,101,5.759325
-207.502831,110,5.884237
-120.307301,94,6.992918
-149.003855,113,7.125049
-153.965426,86,7.215153
-104.773408,89,7.312183
-278.395348,90,7.411305
-302.494649,103,7.519669
-80.65473,90,7.617454
-88.149284,88,7.712343
-253.393091,124,7.854224
-131.700179,118,7.981923
-88.760584,75,8.063203
-163.271201,87,8.158792
-79.930744,67,8.233254
-314.212467,121,8.366855
-86.847533,114,8.493355
-271.584721,73,8.576338
-259.876292,79,8.665186
-211.450385,115,8.795988
-143.514635,90,8.909005
-293.541736,99,9.027953
-269.977015,99,9.137285
-132.609197,65,9.210126
-372.919285,99,10.3148
-227.192403,89,10.411101
-83.812318,67,10.482435
-159.295018,126,10.625453
-122.654688,70,10.698643
-70.81362,74,10.780641
-88.657355,64,10.853656
-84.258787,71,10.933026
-197.356698,94,11.034144
-66.08665,79,11.124567
-93.795886,90,11.225918
-79.983694,136,11.372408
-364.627854,82,11.472157
-296.722941,97,11.573359
-158.490695,101,11.682759
-79.883292,88,11.779176
-145.432374,131,11.929726
-92.414311,80,12.020231
-178.390227,137,12.174307
-63.84047,79,12.261314
-73.270882,90,12.365245
-308.803845,122,12.501458
-51.230797,65,13.57066
-56.691125,127,13.708946
-120.512528,119,13.841976
-103.448087,114,13.968248
-127.073285,104,14.07981
-156.025874,137,14.232259
-142.675861,128,14.377083
-92.885551,143,14.54008
-60.143054,68,14.61661
-166.134169,123,14.752082
-88.154264,93,14.856781
-90.475443,83,14.951205
-53.435105,154,15.127071
-288.859696,100,15.242702
-397.021163,163,15.433336
-83.821437,72,15.509189
-550.618832,98,15.614358
-649.133136,129,15.694185
-465.76155,81,15.749312
-677.78648,97,15.820011
-1254.826068,207,15.962126
-122.382872,110,16.087388
-100.610604,79,16.177065
-128.151281,120,17.307199
-331.125358,126,17.443987
-204.914003,147,17.601463
-25.412394,91,17.702848
-255.386285,182,17.905571
-111.810428,144,18.063985
-87.497774,83,18.153321
-67.036265,84,18.244622
-99.409963,105,18.35535
-177.572264,120,18.484076
-109.328579,77,18.570023
-99.416357,75,18.651137
-73.005602,76,18.734179
-62.295216,75,18.820471
-295.147734,151,18.996378
-317.777469,159,19.177798
-54.001134,76,19.265024
-185.778541,123,19.407536
-132.984454,124,20.525825
-196.573033,102,20.639323
-447.211583,163,20.820182
-540.797801,192,21.03285
-307.562878,155,21.201878
-254.821994,219,21.439349
-113.933249,111,21.555305
-161.503573,133,21.702517
-256.204055,145,21.864794
-148.483479,117,21.990764
-83.236273,121,22.11998
-19.193043,91,22.217497
-52.043114,88,22.317992
-99.128403,81,22.409726
-302.518789,137,22.563022
-357.230311,163,23.739665
-329.751253,218,23.981879
-86.908153,185,24.185911
-294.200265,193,24.393865
-1.360715,177,24.585209
51.185729,1000,25.682584
-95.408321,139,25.852285
-43.854095,95,25.964566
-121.400598,156,27.11446
-283.542979,126,27.249172
-92.114933,88,27.3421
-275.982515,128,27.482269
-139.756381,90,27.578989
-43.689207,75,27.659533
-90.850667,106,27.772186
-97.448838,141,27.925397
-128.29869,129,28.061874
-68.304924,157,28.230518
-95.238921,90,28.328114
-9.432146,152,28.491627
-8.695503,148,28.649561
-57.621298,163,28.830607
-70.732691,87,28.937606
-196.740799,142,29.094755
-31.189708,85,29.187006
3.582713,111,30.296825
-124.278539,92,30.395015
-169.518607,209,30.618784
-60.856024,76,30.699966
-73.230878,70,30.776378
-44.220977,109,30.90307
-119.924116,101,31.00939
-13.780876,120,31.141418
-163.822982,112,31.260939
-12.203444,88,31.352466
-175.607458,123,31.482937
-20.304104,132,31.62518
-250.493483,151,31.788511
-1708.340205,198,32.020884
-680.520734,99,32.082808
-546.15263,107,32.148919
-931.463909,124,32.225497
-1428.786347,217,32.361213
-187.783718,149,32.531767
-246.404404,105,32.647271
-251.892911,121,32.783924
-59.749859,108,33.92452
-342.28826,194,34.132812
-144.747232,197,34.343778
-242.093867,205,34.563223
-45.488233,130,34.70171
-10.149792,114,34.823039
-114.141496,141,34.980134
-46.63177,94,35.081666
-88.291003,147,35.239862
-311.259108,206,35.466564
-28.885807,104,35.580928
-19.862878,177,35.782429
-118.58007,149,35.960464
-149.760202,105,36.071696
-53.974094,117,37.21995
-40.592429,143,37.376574
-43.3174,150,37.537507
-115.026145,207,37.757932
-95.090251,141,37.913166
-118.284963,139,38.061484
-14.319851,83,38.15047
-86.798379,119,38.280021
-53.92464,157,38.454683
-226.646391,110,38.573752
-37.349477,118,38.712094
-18.428305,92,38.812213
-51.559626,81,38.910833
-225.237048,147,39.083142
-248.370912,194,39.305476
-42.403422,184,40.494555
-115.162533,186,40.693798
-78.436921,169,40.886528
-33.503826,174,41.079792
-8.616603,152,41.24478
45.063091,169,41.429765
-161.173994,271,41.727819
-225.790846,106,41.844145
-27.689134,122,41.980643
-264.925298,211,42.212826
-283.228994,215,42.4539
-208.63111,575,44.080805
16.864266,129,44.221437
-111.662307,146,44.375497
8.621892,114,44.49569
-253.741989,205,44.715183
-17.424088,131,44.859903
11.947592,110,44.980118
-113.706853,242,45.240746
8.012316,158,45.41295
-46.377492,140,45.563738
-2.82172,112,45.688133
-235.908408,243,46.940567
-33.632886,139,47.090935
-73.851513,219,47.329646
-94.535551,96,47.434947
-2017.906699,344,48.583712
-2079.764027,357,48.863724
-1329.498679,307,49.052156
-2488.113053,418,49.302666
-2011.40828,345,49.508448
-41.166681,282,49.816974
-212.539385,379,50.246767
19.848918,116,51.400792
28.512749,252,51.68236
13.651736,161,51.86266
44.755583,121,52.000664
9.312182,106,52.117481
-26.498883,154,52.288604
-43.745876,119,52.421309
24.487366,139,52.575848
11.636538,124,52.711466
-15.198959,195,52.934228
47.986378,153,53.099106
8.248133,124,53.232385
3.063833,122,53.367312
1.027884,163,53.556383
-154.085294,238,54.86071
1.642801,344,55.244328
-12.156985,167,55.422542
-63.611987,249,55.687753
-180.275811,282,55.999663
-90.828758,244,56.266152
-30.562026,262,56.551358
30.620741,170,56.740693
-22.444423,1000,58.889434
-22.912646,1000,59.988996
65.665842,1000,62.155313
18.440515,1000,63.233312
-1.05125,224,63.471834
36.67406,1000,65.566205
-172.937701,1000,66.314487
-174.076507,1000,66.9385
-141.34507,1000,67.568749
-197.445757,1000,68.207935
-208.059282,1000,68.842747
56.082837,1000,70.998257
10.374394,1000,72.082378
10.080372,235,72.33472
-170.787741,446,72.820613
60.640347,1000,74.951921
82.674843,1000,76.038064
24.567149,1000,78.145903
14.865477,1000,79.249302
65.317686,1000,81.398672
72.685213,1000,82.47645
-88.277355,700,84.228652
-1.274858,487,84.754437
-148.134196,1000,85.505847
-153.354411,1000,86.175002
-104.112615,1000,86.785117
-106.57922,1000,87.414127
-124.547579,1000,88.058218
107.514007,1000,89.151987
102.501817,1000,91.240329
-3.270195,290,91.54986
-43.313631,503,92.090611
128.736351,1000,94.35023
109.929595,1000,95.700715
90.191927,1000,97.731757
62.322084,1000,98.824024
157.795606,1000,101.08555
70.214321,1000,102.20692
-176.390314,571,102.900736
-52.723351,1000,105.159257
-73.506126,1000,105.743761
-76.591632,1000,106.338163
-56.074176,1000,106.938452
-82.100254,1000,107.565843
82.241035,1000,108.682968
59.369636,1000,110.820592
73.995046,1000,111.917769
-87.809812,412,112.396704
-38.996967,368,113.837584
147.516209,1000,115.117999
90.2708,1000,117.527987
-79.637132,635,118.221678
89.876242,1000,119.315995
147.93453,1000,121.469184
63.238225,1000,122.589627
-50.263069,1000,124.885652
-102.353097,1000,125.502592
-126.612954,1000,126.125398
-120.395536,1000,126.7602
-136.54272,1000,127.437733
61.585546,1000,128.593257
31.854705,1000,130.746114
206.053466,613,131.425247
187.596117,618,132.1082
175.353319,778,134.034699
233.838564,651,134.760237
-84.227503,366,135.170044
-52.187241,372,135.579831
-44.949556,580,137.383696
-18.988979,403,137.853755
210.328688,429,138.341501
199.384256,548,138.921663
51.355883,1000,141.087547
-39.427785,407,141.605707
-102.66221,504,142.159789
-109.276204,553,142.749111
-65.808605,1000,144.557647
-75.189523,1000,145.205349
-86.088582,1000,145.84501
-98.162297,1000,146.564614
-163.795948,860,147.091588
193.219914,745,147.999325
114.202068,717,148.824137
162.106063,592,150.492569
-102.146497,816,151.40953
-77.794105,632,152.067698
-138.501028,530,153.652321
139.194084,850,154.552709
105.955403,878,155.499172
-77.133576,756,157.291102
11.733175,1000,158.387662
158.25751,889,160.452881
214.125703,578,161.066466
173.629985,863,161.986375
-116.972195,1000,162.738683
-85.455165,1000,163.330497
-102.802655,1000,163.91424
-67.681292,1000,164.533155
-100.977216,1000,165.159444
205.39538,753,166.969775
193.7495,700,167.760666
112.692142,874,169.694844
197.848238,592,170.324202
186.002217,636,170.992734
156.125336,714,172.850522
212.897915,572,173.50327
195.252646,511,174.042056
201.344726,687,174.765743
241.334282,640,176.5158
206.230003,624,177.209474
221.170036,559,177.808477
214.409069,620,179.486821
173.593032,768,180.309976
224.961505,544,180.889742
-33.484749,1000,181.719127
-18.687335,1000,182.339739
-31.234118,1000,182.959836
-44.826933,1000,183.583976
-29.453971,1000,184.201697
